round,client_id,epsilon,noise_multiplier,accuracy,loss
1,0,0.1,3.0,0.45,1.2
1,1,0.1,3.0,0.44,1.22
1,2,0.1,3.0,0.43,1.24
1,3,0.1,3.0,0.42,1.26
1,4,0.1,3.0,0.41,1.28
2,0,0.2,2.5,0.5,1.1
2,1,0.2,2.5,0.49,1.12
2,2,0.2,2.5,0.48,1.14
2,3,0.2,2.5,0.47,1.16
2,4,0.2,2.5,0.46,1.18
3,0,0.3,2.0,0.55,1.0
3,1,0.3,2.0,0.54,1.02
3,2,0.3,2.0,0.53,1.04
3,3,0.3,2.0,0.52,1.06
3,4,0.3,2.0,0.51,1.08
4,0,0.4,1.5,0.6,0.9
4,1,0.4,1.5,0.59,0.92
4,2,0.4,1.5,0.58,0.94
4,3,0.4,1.5,0.57,0.96
4,4,0.4,1.5,0.56,0.98
5,0,0.5,1.0,0.65,0.8
5,1,0.5,1.0,0.64,0.82
5,2,0.5,1.0,0.63,0.84
5,3,0.5,1.0,0.62,0.86
5,4,0.5,1.0,0.61,0.88
6,0,0.6,0.8,0.7,0.7
6,1,0.6,0.8,0.69,0.72
6,2,0.6,0.8,0.68,0.74
6,3,0.6,0.8,0.67,0.76
6,4,0.6,0.8,0.66,0.78
7,0,0.7,0.6,0.75,0.6
7,1,0.7,0.6,0.74,0.62
7,2,0.7,0.6,0.73,0.64
7,3,0.7,0.6,0.72,0.66
7,4,0.7,0.6,0.71,0.68
8,0,0.8,0.4,0.8,0.5
8,1,0.8,0.4,0.79,0.52
8,2,0.8,0.4,0.78,0.54
8,3,0.8,0.4,0.77,0.56
8,4,0.8,0.4,0.76,0.58
9,0,0.9,0.2,0.85,0.4
9,1,0.9,0.2,0.84,0.42
9,2,0.9,0.2,0.83,0.44
9,3,0.9,0.2,0.82,0.46
9,4,0.9,0.2,0.81,0.48
10,0,1.0,0.1,0.9,0.3
10,1,1.0,0.1,0.89,0.32
10,2,1.0,0.1,0.88,0.34
10,3,1.0,0.1,0.87,0.36
10,4,1.0,0.1,0.86,0.38
1,0,0.1,5.0,0.35,1.5
1,1,0.1,5.0,0.34,1.52
3,0,0.3,4.0,0.45,1.3
3,1,0.3,4.0,0.44,1.32
5,0,0.5,3.0,0.55,1.1
5,1,0.5,3.0,0.54,1.12
7,0,0.7,2.0,0.65,0.9
7,1,0.7,2.0,0.64,0.92
9,0,0.9,1.0,0.75,0.7
9,1,0.9,1.0,0.74,0.72
10,0,1.0,0.5,0.85,0.5
10,1,1.0,0.5,0.84,0.52
1,0,0.1,10.0,0.25,2.0
3,0,0.3,8.0,0.35,1.8
5,0,0.5,6.0,0.45,1.6
7,0,0.7,4.0,0.55,1.4
9,0,0.9,2.0,0.65,1.2
10,0,1.0,0.05,0.95,0.2 
